Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016
Salaries and Expenses                                           ,Discretionary,Nondefense,Chemical Safety and Hazard Investigation Board                  ,Chemical Safety and Hazard Investigation Board                  ,300,304,11
Salaries and Expenses                                           ,Discretionary,Nondefense,Surface Transportation Board                                    ,Surface Transportation Board                                    ,400,401,31
Salaries and Expenses                                           ,Discretionary,Nondefense,National Railroad Passenger Corporation Office of Inspector Gene,National Railroad Passenger Corporation Office of Inspector Gene,400,401,23
Salaries and Expenses                                           ,Discretionary,Nondefense,National Transportation Safety Board                            ,National Transportation Safety Board                            ,400,407,106
Salaries and expenses,Mandatory,Other Spending,Judicial Branch                                                 ,Supreme Court of the United States,750,752,3
Salaries and Expenses                                           ,Discretionary,Nondefense,Commission of Fine Arts                                         ,Commission of Fine Arts                                         ,450,451,3
Salaries and Expenses                                           ,Discretionary,Nondefense,National Capital Planning Commission                            ,National Capital Planning Commission                            ,450,451,8
Salaries and expenses,Mandatory,Other Spending,Judicial Branch                                                 ,United States Court of International Trade,750,752,2
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,899
Salaries and expenses,Mandatory,Other Spending,Judicial Branch                                                 ,United States Court of Appeals for the Federal Circuit,750,752,3
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Labor                                             ,Wage and Hour Division                                          ,500,505,227
Salaries and expenses,Mandatory,Other Spending,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",750,752,412
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Labor                                             ,Office of Federal Contract Compliance Programs                  ,500,505,106
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Labor                                             ,Office of Labor Management Standards                            ,500,505,41
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,500,505,113
Salaries and Expenses                                           ,Discretionary,Nondefense,Committee for Purchase from People Who Are Blind or Severely Dis,Committee for Purchase from People Who Are Blind or Severely Dis,500,505,6
Salaries and Expenses                                           ,Discretionary,Nondefense,National Labor Relations Board                                  ,National Labor Relations Board                                  ,500,505,273
Salaries and Expenses                                           ,Discretionary,Nondefense,National Mediation Board                                        ,National Mediation Board                                        ,500,505,12
Payment to judiciary trust funds,Mandatory,Other Spending,Judicial Branch                                                 ,Judicial Retirement Funds,750,752,155
Judiciary filing fees,Mandatory,Other Spending,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",750,752,236
Registry Administration,Mandatory,Other Spending,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",750,752,2
Judiciary information technology fund,Mandatory,Other Spending,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",750,752,529
Federal payment to Claims Court Judges Retirement Fund,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Branch,750,752,-6
Federal Payment to Judicial Officers' Retirement Fund,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Retirement Funds,750,752,-114
Judiciary Information Technology Fund,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Branch,750,752,-375
Federal Payment to Judicial Survivors Annuities Fund,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Branch,750,752,-22
Judiciary Information Technology Fund proprietary receipts,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Branch,750,752,-143
Salaries and Expenses                                           ,Discretionary,Nondefense,National Council on Disability                                  ,National Council on Disability                                  ,500,506,3
Fees and expenses of witnesses,Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,213
Salaries and Expenses                                           ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,500,506,80
Salaries and Expenses                                           ,Discretionary,Nondefense,Federal Mine Safety and Health Review Commission                ,Federal Mine Safety and Health Review Commission                ,550,554,17
Salaries and Expenses                                           ,Discretionary,Nondefense,Occupational Safety and Health Review Commission                ,Occupational Safety and Health Review Commission                ,550,554,13
"Salaries and expenses, United States Marshals Service",Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,4
Independent counsel,Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,1
Salaries and Expenses                                           ,Discretionary,Nondefense,United States Court of Appeals for Veterans Claims              ,United States Court of Appeals for Veterans Claims              ,700,705,31
Salaries and expenses                                           ,Discretionary,Nondefense,Department of Justice                                           ,National Security Division                                      ,750,751,95
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Homeland Security                                 ,United States Secret Service,750,751,"1,789"
Assets forfeiture fund,Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,"1,612"
Salaries and expenses                                           ,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Law Enforcement Training Center,750,751,218
United States trustee system fund,Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,-5
Victims of state-sponsored terrorism fund,Mandatory,Other Spending,Department of Justice                                           ,Department of Justice,750,752,150
Salaries and Expenses                                           ,Discretionary,Nondefense,Administrative Conference of the United States                  ,Administrative Conference of the United States                  ,750,751,3
Federal payment to the District of Columbia judicial retirement,Mandatory,Other Spending,District of Columbia                                            ,District of Columbia Courts                                     ,750,752,9
Payment to the District of Columbia judicial retirement & survivors annu,Mandatory,Offsetting receipts,District of Columbia                                            ,District of Columbia Courts                                     ,750,752,-9
Salaries and expenses                                           ,Discretionary,Nondefense,Access Board                                                    ,Access Board                                                    ,750,751,8
Salaries and Expenses                                           ,Discretionary,Nondefense,Commission on Civil Rights                                      ,Commission on Civil Rights                                      ,750,751,9
Salaries and Expenses                                           ,Discretionary,Nondefense,State Justice Institute                                         ,State Justice Institute                                         ,750,752,5
Salaries and Expenses                                           ,Discretionary,Nondefense,Executive Office of the President                               ,The White House                                                 ,800,802,55
Salaries and Expenses                                           ,Discretionary,Nondefense,Executive Office of the President                               ,Office of Management and Budget,800,802,94
Salaries and Expenses                                           ,Discretionary,Nondefense,Executive Office of the President                               ,Office of the United States Trade Representative,800,802,55
"Commissary funds, Federal prisons (trust revolving fund)",Mandatory,Other Spending,Department of Justice                                           ,Federal Prison System,750,753,-5
Salaries and Expenses                                           ,Discretionary,Nondefense,Executive Office of the President                               ,Office of National Drug Control Policy,800,802,19
September 11th victim compensation (general fund),Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,754,"1,673"
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of the Treasury                                      ,Fiscal Service                                                  ,800,803,363
Salaries and Expenses                                           ,Discretionary,Nondefense,Merit Systems Protection Board                                  ,Merit Systems Protection Board                                  ,800,805,43
Public Safety Officer Benefits                                  ,Mandatory,Other Spending,Department of Justice                                           ,Office of Justice Programs,750,754,103
Salaries and Expenses                                           ,Discretionary,Nondefense,Office of Government Ethics                                     ,Office of Government Ethics                                     ,800,805,16
Salaries and Expenses                                           ,Discretionary,Nondefense,Federal Election Commission                                     ,Federal Election Commission                                     ,800,808,75
Salaries and Expenses                                           ,Discretionary,Nondefense,Office of Navajo and Hopi Indian Relocation                     ,Office of Navajo and Hopi Indian Relocation                     ,800,808,13
Salaries and Expenses                                           ,Discretionary,Nondefense,Election Assistance Commission                                  ,Election Assistance Commission                                  ,800,808,8
Crime victims fund,Mandatory,Other Spending,Department of Justice                                           ,Office of Justice Programs,750,754,774
Salaries and Expenses                                           ,Discretionary,Nondefense,Recovery Accountability and Transparency Board                  ,Recovery Accountability and Transparency Board                  ,800,808,1
"Salaries and expenses, Antitrust Division",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,33
"Compensation of members, Senate",Mandatory,Other Spending,Legislative Branch                                              ,Senate,800,801,26
"Salaries and expenses, Community Relations Service",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,13
"Salaries and expenses, Foreign Claims Settlement Commission",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,150,153,2
"Salaries and expenses, General Legal Activities",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,914
"Salaries and expenses, IBWC",Discretionary,Nondefense,Department of State                                             ,International Commissions,300,301,46
"Salaries and expenses, Library of Congress",Discretionary,Nondefense,Legislative Branch                                              ,Library of Congress,500,503,407
"Salaries and expenses, National Gallery of Art",Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,500,503,126
"Salaries and expenses, United States Attorneys",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,"2,016"
"Salaries and expenses, United States Marshals Service",Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,"1,230"
"Salaries and expenses, Woodrow Wilson International Center for S",Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,500,503,11
"Congressional use of foreign currency, Senate",Mandatory,Other Spending,Legislative Branch                                              ,Senate,800,801,6
"Salaries, officers and employees",Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,175
Compensation of members and related administrative expenses,Mandatory,Other Spending,Legislative Branch                                              ,House of Representatives,800,801,108
School Improvement Programs                                     ,Discretionary,Nondefense,Department of Education                                         ,Office of Elementary and Secondary Education,500,501,"4,392"
Science,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,250,251,"5,156"
Science                                                         ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,250,252,"5,320"
"Congressional use of foreign currency, House of Representatives",Mandatory,Other Spending,Legislative Branch                                              ,House of Representatives,800,801,6
Science and technology,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,750
Scientific and technical research and services,Discretionary,Nondefense,Department of Commerce                                          ,National Institute of Standards and Technology,370,376,691
Secretary of the Senate,Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,8
Self-help and Assisted Homeownership Opportunity Program        ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Community Planning and Development,600,604,53
Senate office buildings,Discretionary,Nondefense,Legislative Branch                                              ,Architect of the Capitol,800,801,77
Senators' official personnel and office expense account,Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,386
Sergeant at Arms and Doorkeeper of the Senate,Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,128
Service and supply fund,Discretionary,Nondefense,Department of Health and Human Services                         ,Assistant Secretary for Health,550,551,-41
Service and supply fund,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,12
Ship disposal,Discretionary,Nondefense,Department of Transportation                                    ,Maritime Administration,400,403,5
Small and Disadvantaged Business Utilization and Outreach       ,Discretionary,Nondefense,Department of Transportation                                    ,Office of the Secretary,400,407,3
Space Operations                                                ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,250,252,"4,631"
Judiciary office building development and operations fund,Mandatory,Other Spending,Legislative Branch                                              ,Architect of the Capitol,800,801,-1
Space Technology                                                ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,250,252,585
Special Assistance to the President and the Official Residence O,Discretionary,Nondefense,Executive Office of the President                               ,Special Assistance to the President and the Official Residence,800,802,5
Special benefits for certain World War II veterans,Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,700,701,1
Special education,Discretionary,Nondefense,Department of Education                                         ,Office of Special Education and Rehabilitative Services,500,501,"12,521"
Special Inspector General for the Troubled Asset Relief Program ,Discretionary,Nondefense,Department of the Treasury                                      ,Departmental Offices,370,376,39
"Special supplemental nutrition program for women, infants, and c",Discretionary,Nondefense,Department of Agriculture                                       ,Food and Nutrition Service,600,605,"6,253"
Special workers' compensation,Discretionary,Nondefense,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,600,601,2
State and local law enforcement assistance,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,750,754,"1,086"
State and Local Programs                                        ,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,"1,833"
John C. Stennis Center for Public Service Training and Developme,Mandatory,Other Spending,Legislative Branch                                              ,Legislative Branch Boards and Commissions,800,801,2
U.S. Capitol Preservation Commission,Mandatory,Other Spending,Legislative Branch                                              ,Legislative Branch Boards and Commissions,800,801,1
State and private forestry,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,300,302,275
"Payments, John C. Stennis Center for Public Service Training and",Mandatory,Offsetting receipts,Legislative Branch                                              ,Legislative Branch Boards and Commissions,800,801,-1
State and tribal assistance grants,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,"4,000"
State mediation grants,Discretionary,Nondefense,Department of Agriculture                                       ,Farm Service Agency,350,351,3
State supplemental fees,Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,600,609,135
"State supplemental fees, SSI",Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,600,609,-132
State unemployment insurance and employment service operations,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,500,504,82
State Wildlife Grants                                           ,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,76
Strategic Climate Fund                                          ,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,60
Strategic petroleum reserve,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,274,190
Student aid administration,Discretionary,Nondefense,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,"1,442"
Student financial assistance,Discretionary,Nondefense,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,"24,793"
Substance abuse and mental health services,Discretionary,Nondefense,Department of Health and Human Services                         ,Substance Abuse and Mental Health Services Administration,550,551,"3,163"
Superfund Recoveries,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,-812
"Supp Disc Grants for Natl Surface Transport System, Recovery Act",Discretionary,Nondefense,Department of Transportation                                    ,Office of the Secretary,400,401,80
Supplemental security income program,Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,600,609,"4,656"
Surface Transportation Security                                 ,Discretionary,Nondefense,Department of Homeland Security                                 ,Transportation Security Administration                          ,400,401,114
"Surveys, investigations, and research",Discretionary,Nondefense,Department of the Interior                                      ,United States Geological Survey,300,306,"1,059"
Systems acquisition                                             ,Discretionary,Nondefense,Department of Homeland Security                                 ,Domestic Nuclear Detection Office,750,751,94
Taxpayer Services,Discretionary,Nondefense,Department of the Treasury                                      ,Internal Revenue Service,800,803,"2,303"
Technical Assistance and Training                               ,Discretionary,Nondefense,Department of Transportation                                    ,Federal Transit Administration,400,401,2
Tenant based rental assistance                                  ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,600,604,"19,447"
Title 17 innovative technology loan guarantee program           ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,-19
Trade and Development Agency,Discretionary,Nondefense,International Assistance Programs                               ,Trade and Development Agency,150,151,58
Training and employment services,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,500,504,"2,943"
Transformation Initiative                                       ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,450,451,54
Transit Formula Grants                                          ,Discretionary,Nondefense,Department of Transportation                                    ,Federal Transit Administration,400,401,"9,252"
Reimbursements to Federal Reserve Banks                         ,Mandatory,Other Spending,Department of the Treasury                                      ,Fiscal Service                                                  ,800,803,117
Transit Research                                                ,Discretionary,Nondefense,Department of Transportation                                    ,Federal Transit Administration,400,401,30
Taxpayer Services,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,800,803,246
Transition Initiatives,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,70
Enforcement,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,800,803,7
"Transportation planning, research, and development",Discretionary,Nondefense,Department of Transportation                                    ,Office of the Secretary,400,407,11
Operations Support,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,800,803,84
Transportation Security Support                                 ,Discretionary,Nondefense,Department of Homeland Security                                 ,Transportation Security Administration                          ,400,402,916
Treasury Inspector General for Tax Administration,Discretionary,Nondefense,Department of the Treasury                                      ,Departmental Offices,800,803,164
Payment of Government Losses in Shipment                        ,Mandatory,Other Spending,Department of the Treasury                                      ,Fiscal Service                                                  ,800,803,2
Trust fund share of expenses,Discretionary,Nondefense,Department of Homeland Security                                 ,United States Coast Guard,300,304,45
Salaries and expenses,Mandatory,Other Spending,Department of the Treasury                                      ,Financial Management Service,800,803,63
Financial Agent Services                                        ,Mandatory,Other Spending,Department of the Treasury                                      ,Fiscal Service                                                  ,800,803,626
Trust fund share of FAA activities (Airport and airway trust fun,Discretionary,Nondefense,Department of Transportation                                    ,Federal Aviation Administration,400,402,"7,051"
Federal Reserve Bank Reimbursement Fund                         ,Mandatory,Other Spending,Department of the Treasury                                      ,Fiscal Service                                                  ,800,803,450
Check Forgery Insurance Fund                                    ,Mandatory,Other Spending,Department of the Treasury                                      ,Fiscal Service                                                  ,800,803,2
Federal Financing Bank,Mandatory,Other Spending,Department of the Treasury                                      ,Federal Financing Bank,800,803,-250
IRS Miscellaneous Retained Fees                                 ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,800,803,1
Informant payments,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,800,803,35
Underpayment and fraud collection,Mandatory,Offsetting receipts,Department of the Treasury                                      ,Internal Revenue Service,800,803,-40
"General use, IRS miscellaneous retained fees",Mandatory,Offsetting receipts,Department of the Treasury                                      ,Internal Revenue Service,800,803,-43
Administration of the SS Act,Mandatory,Offsetting receipts,Department of the Treasury                                      ,Department of the Treasury,800,803,-700
"New installment agreements, IRS miscellaneous retained fees",Mandatory,Offsetting receipts,Department of the Treasury                                      ,Department of the Treasury,800,803,-255
"Restructured installment agreements, IRS miscellaneous retained fees",Mandatory,Offsetting receipts,Department of the Treasury                                      ,Department of the Treasury,800,803,-43
Trust fund share of pipeline safety,Discretionary,Nondefense,Department of Transportation                                    ,Pipeline and Hazardous Materials Safety Administration          ,400,407,21
Ukraine Loan Guarantees Program Account                         ,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,299
Unanticipated Needs                                             ,Discretionary,Nondefense,Executive Office of the President                               ,Unanticipated Needs,800,802,1
Unemployment Trust Fund                                         ,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,500,504,"1,080"
Unemployment Trust Fund                                         ,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,600,603,"2,772"
United States Commission on International Religious Freedom     ,Discretionary,Nondefense,Legislative Branch                                              ,Legislative Branch Boards and Commissions,800,801,4
Expenses of transportation audit contracts and contract administ,Mandatory,Other Spending,General Services Administration                                 ,Supply and Technology Activities,800,804,9
Disposal of surplus real and related personal property,Mandatory,Other Spending,General Services Administration                                 ,Real Property Activities,800,804,1
Acquisition workforce training fund,Mandatory,Other Spending,General Services Administration                                 ,General Activities,800,804,8
Offsetting receipts,Mandatory,Offsetting receipts,General Services Administration                                 ,General Services Administration,800,804,-20
"Recoveries of transportation charges, GSA",Mandatory,Offsetting receipts,General Services Administration                                 ,General Services Administration,800,804,-10
United States emergency refugee and migration assistance fund,Discretionary,Nondefense,Department of State                                             ,Other,150,151,83
United States Fire Administration                               ,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,44
United States Institute of Peace                                ,Discretionary,Nondefense,United States Institute of Peace                                ,United States Institute of Peace                                ,150,153,35
United States Quota IMF Direct Loan Program Account             ,Discretionary,Nondefense,International Assistance Programs                               ,International Monetary Programs,150,155,305
United States trustee system fund,Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,59
National archives gift fund,Mandatory,Other Spending,National Archives and Records Administration                    ,National Archives and Records Administration                    ,800,804,1
United States-China Economic and Security Review Commission     ,Discretionary,Nondefense,Legislative Branch                                              ,Legislative Branch Boards and Commissions,800,801,4
Payment to civil service retirement and disability fund,Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,800,805,"36,269"
Upper Colorado River Basin fund,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,300,301,30
Flexible Benefits Plan Reserve                                  ,Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,800,805,8
Revolving fund,Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,800,805,-150
"Offsetting receipts, payment to civil service retirement",Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,800,805,"-36,269"
Uranium enrichment decontamination and decommissioning fund,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,660
USDA Supplemental Assistance                                    ,Discretionary,Nondefense,Department of Agriculture                                       ,Farm Service Agency,350,351,2
Utah reclamation mitigation and conservation account,Discretionary,Nondefense,Department of the Interior                                      ,Central Utah Project,300,301,1
Vaccine Injury Compensation Program Trust Fund                  ,Discretionary,Nondefense,Department of Health and Human Services                         ,Health Resources and Services Administration,550,551,23
Forest Service permanent appropriations,Mandatory,Other Spending,Department of Agriculture                                       ,Forest Service,800,806,78
"Payments to the United States territories, fiscal assistance",Mandatory,Other Spending,Department of the Interior                                      ,Insular Affairs,800,806,360
Veterans employment and training,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,700,702,45
Payments in Lieu of Taxes                                       ,Mandatory,Other Spending,Department of the Interior                                      ,Department-Wide Programs                                        ,800,806,34
Payments to States in Lieu of Coal Fee Receipts                 ,Mandatory,Other Spending,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,800,806,352
Mineral Leasing and Associated Payments                         ,Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,800,806,"1,439"
Veterans Housing Benefit Program Fund                           ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Benefits Programs,700,704,165
National wildlife refuge fund,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,800,806,10
"National Indian Gaming Commission, Gaming activity fees",Mandatory,Other Spending,Department of the Interior                                      ,National Indian Gaming Commission,800,806,17
"Build America Bond Payments, Recovery Act                       ",Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,800,806,"3,500"
Violence against women prevention and prosecution programs      ,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,750,754,424
Washington Metropolitan Area Transit Authority,Discretionary,Nondefense,Department of Transportation                                    ,Federal Transit Administration,400,401,163
Federal payment for water and sewer services,Mandatory,Other Spending,District of Columbia                                            ,District of Columbia General and Special Payments               ,800,806,12
Internal revenue collections for Puerto Rico,Mandatory,Other Spending,Department of the Treasury                                      ,Alcohol and Tobacco Tax and Trade Bureau,800,806,300
"Refunds, Transfers, and Expenses of Operation, Puerto Rico      ",Mandatory,Other Spending,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,800,806,96
Payments to States under Federal Power Act,Mandatory,Other Spending,Department of Energy                                            ,Energy Programs,800,806,3
Water and related resources,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,300,301,835
Water bank program,Discretionary,Nondefense,Department of Agriculture                                       ,Natural Resources Conservation Service,300,302,1
Watershed and flood prevention operations,Discretionary,Nondefense,Department of Agriculture                                       ,Natural Resources Conservation Service,300,301,145
Watershed rehabilitation program,Discretionary,Nondefense,Department of Agriculture                                       ,Natural Resources Conservation Service,300,301,14
White House repair and restoration,Discretionary,Nondefense,Executive Office of the President                               ,Executive Residence at the White House,800,802,1
Wildland fire management,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,300,302,"3,553"
Assistance to territories,Mandatory,Other Spending,Department of the Interior                                      ,Insular Affairs,800,808,28
Wildland Fire Management                                        ,Discretionary,Nondefense,Department of the Interior                                      ,Department-Wide Programs                                        ,300,302,936
Compact of free association,Mandatory,Other Spending,Department of the Interior                                      ,Insular Affairs,800,808,215
"Claims, Judgments, and Relief Acts                              ",Mandatory,Other Spending,Department of the Treasury                                      ,Fiscal Service                                                  ,800,808,"3,000"
Presidential election campaign fund,Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,800,808,2
Reimbursement by agencies to judgment fund,Mandatory,Other Spending,Department of the Treasury                                      ,Department of the Treasury,800,808,-75
Working capital fund,Discretionary,Nondefense,Department of State                                             ,Administration of Foreign Affairs,150,153,-250
Working capital fund,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Land Management,300,302,-15
Working capital fund,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,-1
Working capital fund,Discretionary,Nondefense,Department of Commerce                                          ,National Institute of Standards and Technology,370,376,7
Working capital fund,Discretionary,Nondefense,Department of Justice                                           ,General Administration,750,751,268
Working Capital Fund                                            ,Discretionary,Nondefense,Department of the Interior                                      ,Department-Wide Programs                                        ,300,306,67
Proprietary Receipts,Mandatory,Offsetting receipts,Legislative Branch                                              ,Architect of the Capitol,800,809,-2
Intrabudgetary Transactions,Mandatory,Offsetting receipts,Legislative Branch                                              ,Legislative Branch,800,809,1
Proprietary Receipts,Mandatory,Offsetting receipts,Judicial Branch                                                 ,Judicial Branch,800,809,-9
Intrabudgetary Transactions,Mandatory,Offsetting receipts,Executive Office of the President                               ,Executive Office of the President,800,809,-3
Intrabudgetary Transactions,Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,800,809,-3
Proprietary Receipts,Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,800,809,-8
Intrabudgetary Transactions,Mandatory,Offsetting receipts,Department of Commerce                                          ,Department of Commerce,800,809,-2
Proprietary Receipts,Mandatory,Offsetting receipts,Department of Commerce                                          ,Department of Commerce,800,809,-9
Intrabudgetary Transactions,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,800,809,6
Proprietary Receipts,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,800,809,-58
Intrabudgetary Transactions,Mandatory,Offsetting receipts,Department of Justice                                           ,Department of Justice,800,809,-122
Proprietary Receipts,Mandatory,Offsetting receipts,Department of Justice                                           ,Department of Justice,800,809,-368
Proprietary Receipts,Mandatory,Offsetting receipts,Department of Labor                                             ,Department of Labor,800,809,-24
Intrabudgetary Transactions,Mandatory,Offsetting receipts,Department of State                                             ,Department of State,800,809,-18
Proprietary Receipts,Mandatory,Offsetting receipts,Department of State                                             ,Department of State,800,809,-2
Intrabudgetary recoveries from salary reductions,Mandatory,Other Spending,Department of the Treasury                                      ,Department of the Treasury,800,809,-681
"Proprietary receipts, Treasury",Mandatory,Offsetting receipts,Department of the Treasury                                      ,Department of the Treasury,800,809,-209
Proprietary Receipts,Mandatory,Offsetting receipts,Office of Personnel Management                                  ,Office of Personnel Management,800,809,-8
Proprietary Receipts,Mandatory,Offsetting receipts,Federal Communications Commission                               ,Federal Communications Commission                               ,800,809,-3
Proprietary Receipts,Mandatory,Offsetting receipts,Federal Trade Commission                                        ,Federal Trade Commission                                        ,800,809,-16
Intrabudgetary Transactions,Mandatory,Offsetting receipts,Department of Veterans Affairs                                  ,Department of Veterans Affairs,800,809,-5
Proprietary Receipts,Mandatory,Offsetting receipts,Department of Veterans Affairs                                  ,Department of Veterans Affairs,800,809,-33
Proprietary Receipts,Mandatory,Offsetting receipts,General Services Administration                                 ,General Services Administration,800,809,-70
Proprietary Receipts,Mandatory,Offsetting receipts,National Science Foundation                                     ,National Science Foundation,800,809,-2
